key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-228915299,The spawning migrations of an exploited Albulid in the tropical Pacific: implications for conservation and community-based management,2020,9,,ENVIRONMENTAL BIOLOGY OF FISHES,"[""0378-1909"", ""1573-5133     J9  - ENVIRON BIOL FISH     JI  - Environ. Biol. Fishes""]",103,9,1013-1031,"Filous, A and Lennox, RJ and Raveino, R and Friedlander, AM and Clua, EEG and Cooke, SJ and Danylchuk, AJ",,English,,"[""Univ Massachusetts, Dept Environm Conservat, 160 Holdsworth Way, Amherst, MA 01003 USA"", ""Indifly, POB 4460, St Paul, MN 55104 USA"", ""Isl Initiat, Fam Ridge Rd, Althorne Hall Farm, Althorne, England"", ""Carleton Univ, Dept Biol, Fish Ecol & Conservat Physiol Lab, Ottawa, ON K1S 5B6, Canada"", ""Norwegian Res Ctr NORCE, Lab Freshwater Ecol & Inland Fisheries, Bergen, Norway"", ""Natl Geog Soc, Pristine Seas, Washington, DC USA"", ""Univ Hawaii, Dept Biol, Honolulu, HI 96822 USA"", ""PSL Res Univ, CRIOBE, EPHE, USR3278,CNRS,UPVD, F-98729 Papetoai Moorea, French Polynesi, France"", ""CRIOBE, Labex Coral, F-98729 Moorea, French Polynesi, France""]","Teleost fish that form predictable spawning aggregations and undertake reproductive migrations can be particularly vulnerable to overexploitation. To support community-based management of an artisanal fishery that targets bonefish (Albula glossodonta) spawning aggregations, we used a combination of acoustic telemetry, biological sampling, and remote imagery to reveal the spatiotemporal spawning migrations of bonefish on Anaa Atoll in the Tuamotu Archipelago, French Polynesia. The spawning migrations of bonefish tracked with acoustic telemetry were restricted to the northern section of the atoll, with 99.6% of all detections at offshore spawning habitats occurring on fixed acoustic receivers adjacent to the atoll's artisanal fish trap complex. Male bonefish undertook spawning migrations more frequently than females and these spawning migrations were common during the Austral winter and fall. The movements of bonefish spawning aggregations coincided with the lunar cycle, as a network analysis revealed an increase in network size and the diversity of habitat use within our acoustic array throughout the duration of the waning moon. Our results highlighted the need for the management of the artisanal trap fishery to prevent the overharvest of bonefish during their peak spawning periods. In response to the spatiotemporal management recommendations derived from this research, the local government established an Educational Managed Marine Area that includes the atoll's bonefish spawning migratory corridor adjacent to Tukuhora village and aRahui(i.e., seasonal closure) to improve the sustainability of the fishery.","Times Cited in Web of Science Core Collection:  10     Total Times Cited:  11     Cited Reference Count:  77 | RAYYAN-INCLUSION: {""Bruna""=>""Included""} | RAYYAN-LABELS: Spawning,Reef-associated",10.1007/s10641-020-00996-3,Bonefish;Albula glossodonta;Lunar migrations;Acoustic telemetry;Traditional management;Artisanal fisheries;SELF-RECRUITMENT;REEF FISHES;BONEFISH;AGGREGATION;VULPES;BEHAVIOR;HABITAT;CONNECTIVITY;MOVEMENTS;EVOLUTION,,
rayyan-228915303,Inferring residency and movement patterns of horse-eye jack Caranx latus in relation to a Caribbean marine protected area acoustic telemetry array,2020,4,15,ANIMAL BIOTELEMETRY,2050-3385     J9  - ANIM BIOTELEM     JI  - Anim. Biotelem.,8,1,,"Novak, AJ and Becker, SL and Finn, JT and Danylchuk, AJ and Pollock, CG and Hillis-Starr, Z and Jordaan, A",,English,,"[""Univ Massachusetts, Dept Environm Conservat, Amherst, MA 01003 USA"", ""Natl Pk Serv, Buck Isl Reef Natl Monument, St Croix, VI 00820 USA""]","BackgroundInformation regarding the movement ecology of horse-eye jack Caranx latus throughout the Caribbean is limited despite their prevalence. Passive acoustic telemetry was used to infer movement patterns of seven adult C. latus within Buck Island Reef National Monument (BIRNM), a no-take marine protected area (MPA) northeast of St. Croix, U.S. Virgin Islands. In addition, a preliminary exploration of detections recorded outside of BIRNM was used to gain knowledge of the potential for larger scale movements. Ascertaining long-term movement patterns, including residency, mobility, and identifying core activity spaces can play a considerable role in how MPAs, like BIRNM, are adapted to meet the needs of mobile species.ResultsHigh residency index values were observed for individual C. latus within the BIRNM array (meanSE: 0.913 +/- 0.04, range 0.75-1.0) across the 17 months monitored. Most fish were also detected on receivers located outside BIRNM. An observed to expected detection ratio revealed that despite high residency, only 9.6% of expected transmissions were detected based on the average tag transmission rate. Network analysis revealed high individual connectivity with many of the receivers inside BIRNM and a large number of core use receivers (mean: 10.7, range 6-14) within individual networks.ConclusionsMost C. latus were present in BIRNM at least twice per day, but were overall detected below the expected rates, demonstrating mobility, large core activity spaces and wide use of the acoustic array inside BIRNM and greater St. Croix shelf. How residency is inferred from acoustic telemetry detections, and interpreted for species with variable mobility, has important considerations for spatial management planning and telemetry analyses. For MPA development to meet the spatial requirements of species with mixed resident-mobile spatial ecology, detailed long-term movement data are required. Assessing residency in MPAs using acoustic telemetry should be formalized and carefully interpreted based on specific species, environmental conditions, and array configuration.","Times Cited in Web of Science Core Collection:  21     Total Times Cited:  24     Cited Reference Count:  46 | RAYYAN-INCLUSION: {""Bruna""=>""Included""} | RAYYAN-LABELS: MPA,Reef-associated",10.1186/s40317-020-00199-8     WE  - Science Citation Index Expanded (SCI-EXPANDED),Acoustic telemetry;Carangidae;Marine protected area;Movement patterns;Residency;SPAWNING AGGREGATIONS;CONTRASTING MOVEMENTS;CORAL-REEFS;HABITAT USE;RED HIND;FISHERIES,,
rayyan-228915304,"The commercially important shoemaker spinefoot, Siganus sutor, connects coral reefs to neighbouring seagrass meadows",2020,4,,JOURNAL OF FISH BIOLOGY,"[""0022-1112"", ""1095-8649     J9  - J FISH BIOL     JI  - J. Fish Biol.""]",96,4,1034-1044,"Ebrahim, A and Bijoux, JP and Mumby, PJ and Tibbetts, IR",,English,,"[""Univ Queensland, Sch Biol Sci, Brisbane, Qld, Australia"", ""Seychelles Fishing Author, Mahe, Seychelles""]","Spatial management of fish populations can potentially be optimized by determining the area of influence of a particular species. We performed an acoustic tagging study implemented on Denis Island in the Seychelles to assess the area of influence of the heavily targeted shoemaker spinefoot, Siganus sutor. We investigated whether this species acts as a mobile link between coral patches and seagrass meadows, and whether their movements differed between day and night. The study incorporated an array of 22 acoustic stations deployed within dense coral patches, seagrass meadows and mixed habitats of both seagrass and coral. Fifteen S. sutor carrying internal acoustic tags were monitored from November 2016 until May 2017. Detection patterns revealed them to be diurnal herbivores, with only rare nocturnal movements. Home-range estimates showed that individuals differed in their spatial range extents and habitats used, covering ~15% of the total shallow subtidal coastline of the island. However, they displayed very small daily movements (<200 m), concentrated mainly around sites within mixed coral and seagrass habitats. An optimal number of detections was recorded when the coral to seagrass area ratio was approximately 1.6:1. This ratio was confirmed through statistical prediction modelling. Identification of such links of commercially important species between networked habitats may help authorities consider incorporating seagrass meadows of the Seychelles into management discussions, which are currently lacking.","Times Cited in Web of Science Core Collection:  4     Total Times Cited:  4     Cited Reference Count:  54 | RAYYAN-INCLUSION: {""Bruna""=>""Included""}",10.1111/jfb.14297     WE  - Science Citation Index Expanded (SCI-EXPANDED),connectivity;coral reefs;home range;seagrass;Siganus sutor;telemetry;HOME-RANGE SIZE;SPAWNING AGGREGATIONS;STRUCTURAL COMPLEXITY;HABITAT UTILIZATION;MOVEMENT PATTERNS;MARINE RESERVES;SPATIAL ECOLOGY;FISH;BEDS;MANGROVES,,
rayyan-228915308,Investigating the efficacy of a proposed marine protected area for the Endangered humphead wrasse Cheilinus undulatus at a remote island group in Seychelles,2020,,,ENDANGERED SPECIES RESEARCH,"[""1863-5407"", ""1613-4796     J9  - ENDANGER SPECIES RES     JI  - Endanger. Species Res.""]",42,,7-20,"Daly, R and Daly, CAK and Gray, AE and Peel, LR and Gordon, L and Lea, JSE and Clarke, CR and Weng, KC",,English,,"[""Save Our Seas Fdn DArros Res Ctr SOSF DRC, Rue Philippe Plantamour 20, CH-1201 Geneva, Switzerland"", ""South African Inst Aquat Biodivers SAIAB, Private Bag 1015, ZA-6140 Grahamstown, South Africa"", ""Oceanog Res Inst, POB 10712, ZA-4056 Durban, South Africa"", ""Univ Hawaii Manoa, Joint Inst Marine & Atmospher Res, Honolulu, HI 96822 USA"", ""Univ Western Australia, Sch Biol Sci, Oceans Inst, Crawley, WA 6009, Australia"", ""Univ Western Australia, Sch Biol Sci, Oceans Grad Sch, Crawley, WA 6009, Australia"", ""Australian Inst Marine Sci, Crawley, WA 6009, Australia"", ""Manta Trust, Catemwood House,Norwood Lane, Corscombe DT2 0NT, Dorset, England"", ""Univ Cambridge, Dept Zool, Cambridge CB2 1TN, England"", ""Marine Res Facil, POB 10646, Jeddah 21443, Saudi Arabia"", ""Coll William & Mary, Virginia Inst Marine Sci, Gloucester Point, VA 23062 USA""]","The humphead wrasse Cheilinus undulatus is an iconic, ecologically important and Endangered fish species associated with coral reefs in the Indo-Pacific region. Due to its large size and complex life history characteristics, it is vulnerable to overfishing and has undergone substantial population declines in parts of its range. Knowledge of the species' movement ecology is currently limited to only 2 previous studies, and very little is known about populations in the western Indian Ocean. The present study aimed to use passive acoustic telemetry to investigate the importance of a remote coral reef to a population of humphead wrasse in the Republic of Seychelles, and subsequently assess the efficacy of a proposed marine protected area at this location for protection of the species. Tagged fish (n = 20) exhibited persistent (> 500 d) site fidelity, with low dispersal distances (mean +/- SD: 6.44 +/- 4.0 km) and restricted core activity spaces (50% Brownian bridge kernel utilization density: 0.91 +/- 0.61 km(2)). Additionally, the study site was home to a group of large (total length 97.9 +/- 20.6 cm) and currently unexploited humphead wrasse that showed longterm predictable site fidelity and thus could be vulnerable to over-exploitation. The establishment of a proposed no-take marine protected area at the study site would encompass the core home range area of all tagged humphead wrasse and could effectively conserve this stronghold of Endangered fish to ensure the persistence of the species in Seychelles waters.","Times Cited in Web of Science Core Collection:  8     Total Times Cited:  9     Cited Reference Count:  34 | RAYYAN-INCLUSION: {""Bruna""=>""Included""}",10.3354/esr01035     WE  - Science Citation Index Expanded (SCI-EXPANDED),Humphead wrasse;Cheilinus undulatus;Home range;Spatial ecology;Coral reef;Marine protected area;Acoustic telemetry;REEF FISH;SIZE;GROWTH,,
rayyan-228915309,Coarse- and fine-scale acoustic telemetry elucidates movement patterns and temporal variability in individual territories for a key coastal mesopredator,2020,1,,ENVIRONMENTAL BIOLOGY OF FISHES,"[""0378-1909"", ""1573-5133     J9  - ENVIRON BIOL FISH     JI  - Environ. Biol. Fishes""]",103,1,13-29,"Becker, SL and Finn, JT and Novak, AJ and Danylchuk, AJ and Pollock, CG and Hillis-Starr, Z and Lundgren, I and Jordaan, A",,English,,"[""Univ Massachusetts, Dept Environm Conservat, Amherst, MA 01003 USA"", ""Natl Pk Serv, Buck Isl Reef Natl Monument, St Croix, VI USA"", ""NOAA Fisheries, Off Habitat Conservat, Habitat Protect Div, Silver Spring, MD 20910 USA""]","Great barracuda (Sphyraena barracuda) are a high trophic level predator that uses a wide variety of habitats globally throughout tropical and subtropical waters. Despite the important top-down pressure this species likely exerts on fish communities within its foraging territories, the specifics of spatial ecology remain relatively unknown. This study tracked 17 great barracuda throughout Buck Island Reef National Monument, a marine-protected area located in St. Croix, U.S. Virgin Islands (17.786944 degrees N, - 64.620556 degrees W) from July 2014 to May 2016. Broad- and fine-scale acoustic telemetry was used to examine individual variability and study population patterns in residency, site fidelity, territoriality, and complexity of spatial use within home ranges. Network analysis of broad-scale data revealed spatial and temporal differentiation among the population in location of core use areas and showed that these areas contained multiple unique receiver groups or communities, a product of spatial or temporal variation within core activity spaces. Results from the fine-scale positioning system reinforced spatial and temporal partitioning in core use areas between individuals, indicating territorial behaviors, and showed evidence for both resident and transient movements. Preliminary fine-scale analysis also suggested diel variation in location of activity spaces. Although ubiquitous throughout all shallow water habitats, detection patterns for the study population appear to be influenced by high residency, territoriality, spatial partitioning, and diel variation. Understanding the complexities of individual space use is fundamental to ecologically founded and effective area-based spatial management frameworks at community scales.","Times Cited in Web of Science Core Collection:  13     Total Times Cited:  18     Cited Reference Count:  63 | RAYYAN-INCLUSION: {""Bruna""=>""Included""}",10.1007/s10641-019-00930-2,Acoustic telemetry;Great barracuda;Individuality;Network analysis;Territoriality;VEMCO Positioning System;BARRACUDA SPHYRAENA-BARRACUDA;ECOSYSTEM-BASED MANAGEMENT;REEF FISH;HABITAT USE;GREAT BARRACUDA;ATLANTIC STURGEON;SITE FIDELITY;SHARKS;COMPLEXITY;RESIDENCY,,
rayyan-228915311,"Utilizing accelerometer telemetry tags to compare red snapper (Lutjanus campechanus [Poey, 1860]) behavior on artificial and natural reefs",2019,10,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,"[""0022-0981"", ""1879-1697     J9  - J EXP MAR BIOL ECOL     JI  - J. Exp. Mar. Biol. Ecol.""]",519,,,"Getz, ET and Kline, RJ",,English,,"Univ Texas Rio Grande Valley, Sch Earth Environm & Marine Sci, Brownsville, TX USA","Artificial reefs have been shown to support important reef fishes such as red snapper (Lutjanus campechanus [Poey, 1860)), however, few studies have compared fish behavior on artificial and natural habitats. We examined activity levels and behavioral patterns of red snapper over natural reefs, oil platforms and submerged ships. Telemetry tags (Sonotronics model Am) that transmitted tri-axial acceleration range, with average depth or average temperature were developed specifically to monitor red snapper and tested in captive fish. Wild red snapper were surgically implanted at depth and monitored for 16 months over artificial and natural reefs. Overall dynamic body acceleration (ODBA) as the sum of x, y and z acceleration range (0-0.398 g along each axis) was used to estimate activity levels of red snapper at each reef. Measurements of red snapper indicated that season, diel period, temperature time blocks and reef type had significant effects on ODBA and depth use. Red snapper were more active during the summer, at night, and during a period of rapid temperature increase. Red snapper were also generally more active and stayed at shallower depths on ships. The increases in activity reported here may be attributed to differing feeding or spawning behaviors on certain reefs. These results suggest that environmental factors such as temperature and diel period heavily influence red snapper and that they behave differently on specific habitat types at certain times. Future efforts to examine the ecological performance of red snapper across reef types should therefore carefully take environmental influences into account.","Times Cited in Web of Science Core Collection:  7     Total Times Cited:  9     Cited Reference Count:  50 | RAYYAN-INCLUSION: {""Bruna""=>""Included""} | RAYYAN-LABELS: Artificial reefs",10.1016/j.jembe.2019.151202     WE  - Science Citation Index Expanded (SCI-EXPANDED),Artificial reef;Red snapper;Accelerometer;Acoustic telemetry;Gulf of Mexico;GULF-OF-MEXICO;MOVEMENT PATTERNS;SPAWNING AGGREGATIONS;FISH;ACCELERATION;MANAGEMENT;HABITAT;PERFORMANCE;MORTALITY;RESIDENCE,,
rayyan-228915313,Acoustic telemetry reveals multi-seasonal spatiotemporal dynamics of a giant trevally Caranx ignobilis aggregation,2019,7,4,MARINE ECOLOGY PROGRESS SERIES,"[""0171-8630"", ""1616-1599     J9  - MAR ECOL PROG SER     JI  - Mar. Ecol.-Prog. Ser.""]",621,,185-197,"Daly, R and Filmalter, JD and Daly, CAK and Bennett, RH and Pereira, MAM and Mann, BQ and Dunlop, SW and Cowley, PD",,English,,"[""South African Inst Aquat Biodivers, Private Bag 1015, ZA-6140 Grahamstown, South Africa"", ""Oceanog Res Inst, POB 10712, ZA-4056 Durban, South Africa"", ""SOSF DRC, Rue Philippe Plantamour 20, CH-1201 Geneva, Switzerland"", ""Ctr Terra Viva, Rua C 148, Maputo 1100, Mozambique""]","Predictable fish aggregations of commercially valuable species are particularly susceptible to overexploitation. Giant trevally Caranx ignobilis are ecologically important top predatory fish targeted in both recreational and commercial fisheries; however, little is known about their aggregation dynamics or susceptibility to overexploitation. This study employed acoustic telemetry to investigate the temporal and spatial characteristics of one of the largest known aggregations of this species over a 3 yr period in a marine protected area in Mozambique, West Indian Ocean. Tagged fish were monitored for between 386 and 1176 d, during which they exhibited distinct aggregative periods in austral spring and summer. The detection frequency of fish at the aggregation site was significantly associated with rising mean sea temperatures and the full moon period. Whilst at the aggregation site, fish exhibited clear patterns of diel periodicity, with maximum hourly detections recorded during midday. All fish exhibited periods of absence from the aggregation site between summer seasons, in which time many of them ranged across an international border for distances of between 11 and 633 km before returning to aggregate at the same site in the following season. These results confirm that the studied giant trevally aggregation is temporally and spatially predictable, and consistent with a transient site-specific fish spawning aggregation. The spatiotemporal predictability of the aggregation highlights the need for the effective management of this transboundary population of giant trevally, for which this study has provided conservation management recommendations.","Times Cited in Web of Science Core Collection:  25     Total Times Cited:  28     Cited Reference Count:  54 | RAYYAN-INCLUSION: {""Bruna""=>""Included""} | RAYYAN-LABELS: MPA,Spawning,Full text checked",10.3354/meps12975     WE  - Science Citation Index Expanded (SCI-EXPANDED),Acoustic telemetry;Fish aggregation;Marine protected area;Western Indian Ocean;FISH SPAWNING AGGREGATIONS;REEF FISH;SITE FIDELITY;MARINE RESERVE;BASE-LINE;PATTERNS;GROUPER;CONSERVATION;MOVEMENTS;BEHAVIOR,,
rayyan-228915314,Does a spatiotemporal closure to fishing Chrysophrys auratus (Sparidae) spawning aggregations also protect individuals during migration?,2019,7,,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,"[""0706-652X"", ""1205-7533     J9  - CAN J FISH AQUAT SCI     JI  - Can. J. Fish. Aquat. Sci.""]",76,7,1171-1185,"Crisafulli, BM and Fairclough, DV and Keay, IS and Lewis, P and How, JR and Ryan, KL and Taylor, SM and Wakefield, CB",,English,,"Govt Western Australia, Dept Primary Ind & Reg Dev, Fisheries Div, 39 Northside Dr, Hillarys, WA 6025, Australia","Understanding migration dynamics of fishes that aggregate-spawn is critical if spatiotemporal closures to fishing are expected to protect them. Concern over fishing of Chrysophrys auratus spawning aggregations in embayments near a west Australian city led to an annual 4-month spatial fishing closure. However, the extent to which it protects fish migrating to and from aggregations is unclear. Acoustic telemetry demonstrated a bimodal pattern of entry to and departure from the main embayment via only one of several pathways. Among years, 33%-56% of fish occurred in the pathway prior to the closure, but most left before it ceased. Fish were detected within the closure in multiple but not always consecutive years. Variation in migration timing and aggregation philopatry may alter capture risk, but pre- and postspawning migratory fish are fished in the main pathway and adjacent reefs, which would presumably impact spawning aggregation biomass. Assessment of this would assist in understanding whether expansion of the closure's spatial and temporal limits is necessary to ensure spawning biomass or whether current management is sufficient.","Times Cited in Web of Science Core Collection:  14     Total Times Cited:  14     Cited Reference Count:  95 | RAYYAN-INCLUSION: {""Bruna""=>""Included""} | RAYYAN-LABELS: Spawning,Reef-associated,Full text checked",10.1139/cjfas-2017-0449     WE  - Science Citation Index Expanded (SCI-EXPANDED),SNAPPER PAGRUS-AURATUS;FISHERIES MANAGEMENT;LIFE-HISTORY;REEF FISH;ACOUSTIC TELEMETRY;MOVEMENT PATTERNS;WESTERN-AUSTRALIA;STOCK ENHANCEMENT;SMALL-SCALE;TEMPERATURE,,
rayyan-228915316,"Home range and spawning migration patterns of queen triggerfish Balistes vetula in St. Croix, US Virgin Islands",2019,5,9,MARINE ECOLOGY PROGRESS SERIES,"[""0171-8630"", ""1616-1599     J9  - MAR ECOL PROG SER     JI  - Mar. Ecol.-Prog. Ser.""]",616,,123-139,"Bryan, DR and Feeley, MW and Nemeth, RS and Pollock, C and Ault, JS",,English,,"[""Univ Miami, Rosenstiel Sch Marine & Atmospher Sci, Dept Marine Ecosyst & Soc, 4600 Rickenbacker Causeway, Miami, FL 33149 USA"", ""Pacific States Marine Fisheries Commiss, 7600 Sand Point Way NE, Seattle, WA 98115 USA"", ""Natl Pk Serv, South Florida Caribbean Inventory & Monitoring Ne, 18001 Old Cutler Rd Suite 419, Palmetto Bay, FL 33157 USA"", ""Univ Virgin Isl, Ctr Marine & Environm Studies, 2 John Brewers Bay, St Thomas, VI 00802 USA"", ""Natl Pk Serv, Buck Isl Natl Pk, 2100 Church St 100, Christiansted, VI 00820 USA""]","Queen triggerfish Balistes vetula are an ecologically and economically important species associated with coral reefs throughout the tropical Atlantic Ocean. To better understand spatial and temporal movement patterns and help determine the effectiveness of a no-take marine reserve (Buck Island Reef National Monument, BIRNM), 55 queen triggerfish were surgically implanted with acoustic transmitters and tracked for 434.6 +/- 27.3 d (mean SE) within a large acoustic array in St. Croix, US Virgin Islands. Queen triggerfish displayed high site fidelity within the reserve during non-spawning months. Home range sizes, as measured by 95 % minimum convex polygons and kernel utilization distributions, averaged 2.44 t 0.30 and 3.34 +/- 0.17 km(2), respectively. High site fidelity was interrupted briefly during full moons from November to March (2015-2017), when 22 % of the tagged population (n = 12) undertook repeated migrations to a nesting area located approximately 12 km from BIRNM. During the same-season spawning periods, 5 other fish were exclusively detected at a receiver station within the reserve, indicating a possible local nesting area and resident (non-migratory) contingent of queen triggerfish. The high site fidelity of queen triggerfish during non-spawning months coupled with the discovery of a resident spawning population highlights the importance of BIRNM as a potential refuge from local fishing pressures. This study provides improved understanding of queen triggerfish movement ecology, an extremely valuable asset for the development of spatial management strategies throughout their range.","Times Cited in Web of Science Core Collection:  11     Total Times Cited:  11     Cited Reference Count:  89 | RAYYAN-INCLUSION: {""Bruna""=>""Included""} | RAYYAN-LABELS: MPA,Spawning,Reef-associated",10.3354/meps12944     WE  - Science Citation Index Expanded (SCI-EXPANDED),Movement ecology;Marine reserves;Partial migration;Fisheries management;Acoustic telemetry;Balistidae;Spawning aggregation;CORAL-REEF FISH;SETTING CATCH LIMITS;MOVEMENT PATTERNS;ACOUSTIC TELEMETRY;MARINE RESERVES;NASSAU GROUPER;EPINEPHELUS-GUTTATUS;FISHERIES MANAGEMENT;HABITAT USE;RED HIND,,
rayyan-228915317,"Latitudinal and seasonal variation in space use by a large, predatory reef fish, Plectropomus leopardus",2019,4,,FUNCTIONAL ECOLOGY,"[""0269-8463"", ""1365-2435     J9  - FUNCT ECOL     JI  - Funct. Ecol.""]",33,4,670-680,"Scott, ME and Heupel, MR and Simpfendorfer, CA and Matley, JK and Pratchett, MS",,English,,"[""James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld, Australia"", ""Australian Inst Marine Sci, Townsville, Qld, Australia"", ""James Cook Univ, Ctr Sustainable Trop Fisheries & Aquaculture, Townsville, Qld, Australia"", ""Univ Windsor, Great Lakes Inst Environm Res, Windsor, ON, Canada""]","Temperature directly affects the metabolic rate and resource requirements of ectothermic animals, which is likely to influence their movement and habitat use. Space use is a fundamental component of an animal's ecology, and the extent of an animal's home range has consequences for individual distributions, community structure and ecosystem function. As ocean temperatures continue to rise as a result of global warming, determining the effects of temperature on space use and movement patterns of important fisheries species is vital. Our aim was to investigate the spatial and temporal variation in space use by a tropical fisheries species, the leopard coralgrouper (Plectropomus leopardus), from two latitudinally distinct locations on Australia's Great Barrier Reef to determine the potential response of large-bodied tropical fishes to ocean warming through behavioural modification. Using passive acoustic telemetry of 36 tagged individuals, we found that both core use areas (50%KUD) and home range extent (95%KUD) varied with respect to location, season, body size and temperature. Average home range extent (95%KUD) for tagged P. leopardus was 0.32 km(2) at the high-latitude location (Heron Island) compared to 0.23 km(2) at the low-latitude location (Opal Reef). However, core use areas (50%KUD) did not differ significantly between the two locations. Seasonal differences were also apparent at both locations with P. leopardusshowing contraction in home range extent during the summertime. This effect was most pronounced at the low-latitude location where home range was significantly reduced during summer when temperatures exceeded 27 degrees C. Taken together, our findings indicate that higher ambient temperature may elicit a sustained and significant decline in space use by a commercially important reef fish. Given projected increases in ocean temperature due to global climate change, large-bodied reef fishes may be increasingly constrained in their movement and space use, which will have ramifications for individual fitness, population viability, fisheries productivity and ecological function.","Times Cited in Web of Science Core Collection:  13     Total Times Cited:  13     Cited Reference Count:  74 | RAYYAN-INCLUSION: {""Bruna""=>""Included""}",10.1111/1365-2435.13271     WE  - Science Citation Index Expanded (SCI-EXPANDED),acoustic telemetry;global warming;Great Barrier Reef;home range;increasing temperature;movement patterns;Plectropomus leopardus;GREAT-BARRIER-REEF;CORAL TROUT;HOME-RANGE;CLIMATE-CHANGE;SPAWNING AGGREGATIONS;ACTIVITY PATTERNS;HABITAT USE;MOVEMENT;SERRANIDAE;FISHERIES,,
rayyan-228915320,Habitat utilization by an invasive herbivorous fish (Siganus rivulatus) in its native and invaded range,2018,12,,BIOLOGICAL INVASIONS,"[""1387-3547"", ""1573-1464     J9  - BIOL INVASIONS     JI  - Biol. Invasions""]",20,12,3499-3512,"Pickholtz, RSM and Kiflawi, M and Friedlander, AM and Belmaker, J",,English,,"[""Tel Aviv Univ, George S Wise Fac Life Sci, Sch Zool, IL-69978 Tel Aviv, Israel"", ""Interuniv Inst Marine Sci, Elat, Israel"", ""Ben Gurion Univ Negev, Dept Life Sci, Beer Sheva, Israel"", ""Natl Geog Soc, Pristine Seas, Washington, DC USA"", ""Univ Hawaii, Fisheries Ecol Res Lab, Honolulu, HI 96822 USA"", ""Tel Aviv Univ, Steinhart Museum Nat Hist, IL-69978 Tel Aviv, Israel""]","Movement is essential for understanding the distribution and abundance of animals. While it has been suggested that invasion success can be facilitated by species' ability to adapt to novel environments, direct comparisons of movement patterns between native and invaded ranges of animals in their natural habitat are rare. The rivulated rabbitfish Siganus rivulatus was introduced from the Red Sea into the Mediterranean, where it is now found in extremely high abundances, and has overgrazed the coastal marine ecosystem in many locations. Through a continuous acoustic tracking system, we found that the movement of S. rivulatus individuals at a Mediterranean site differed substantially from those at a Red Sea site, with individuals in the Mediterranean having larger overall home ranges and lower site fidelity. However, no variation between sites was found in daily home range sizes. Results show that at the Mediterranean site S. rivulatus individuals have a larger spatial footprint, which may contribute to their impact and ability to expand their distribution. This study demonstrates a potential shift in individual movement of a marine invasive species between its native and invaded range, and highlights the role of movement in understanding biological invasions.","Times Cited in Web of Science Core Collection:  27     Total Times Cited:  30     Cited Reference Count:  102 | RAYYAN-INCLUSION: {""Bruna""=>""Included""} | RAYYAN-LABELS: Reef-associated,Herbivorous fish,Invasive or Exotic species",10.1007/s10530-018-1790-4     WE  - Science Citation Index Expanded (SCI-EXPANDED),Invasive species;Habitat utilization;Movement;Reef fish;Mediterranean Sea;Red Sea;TROPICAL REEF FISH;HOME-RANGE;TERRITORIAL DAMSELFISHES;PREDATION RISK;NORTHERN GULF;SITE FIDELITY;RED-SEA;MARINE;ECOLOGY;COMPETITION,,
